git_commit,package,language,type,n_translated,n_untranslated
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,da,C,498,1145
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,da,R,473,111
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,de,C,1511,132
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,de,R,518,66
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,en,C,2,1641
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,en,R,0,584
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,en_GB,C,4,1639
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,en_GB,R,0,584
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,es,C,1030,613
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,es,R,0,584
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,fa,C,4,1639
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,fa,R,2,582
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,fr,C,1608,35
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,fr,R,580,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,it,C,1608,35
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,it,R,581,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,ja,C,1424,219
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,ja,R,474,110
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,ko,C,1257,386
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,ko,R,398,186
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,lt,C,1588,55
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,lt,R,556,28
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,nn,C,1143,500
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,nn,R,367,217
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,pl,C,1512,131
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,pl,R,517,67
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,pt_BR,C,1154,489
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,pt_BR,R,294,290
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,ru,C,1590,53
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,ru,R,556,28
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,tr,C,1132,511
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,tr,R,0,584
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,zh_CN,C,1357,286
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,zh_CN,R,454,130
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,zh_TW,C,1510,133
4168b6fff27eafad68a4b134dba5c7d09e090fcb,base,zh_TW,R,517,67
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,da,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,da,R,30,9
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,de,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,de,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,en,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,en,R,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,en_GB,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,en_GB,R,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,es,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,es,R,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,fa,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,fa,R,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,fr,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,fr,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,it,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,it,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,ja,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,ja,R,32,7
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,ko,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,ko,R,17,22
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,lt,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,lt,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,nn,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,nn,R,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,pl,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,pl,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,pt_BR,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,pt_BR,R,30,9
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,ru,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,ru,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,tr,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,tr,R,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,zh_CN,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,zh_CN,R,31,8
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,zh_TW,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,compiler,zh_TW,R,39,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,da,C,89,106
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,da,R,96,47
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,de,C,163,32
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,de,R,126,17
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,en,C,0,195
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,en,R,0,143
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,en_GB,C,9,186
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,en_GB,R,1,142
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,es,C,0,195
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,es,R,0,143
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,fa,C,0,195
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,fa,R,0,143
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,fr,C,166,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,fr,R,142,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,it,C,166,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,it,R,142,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,ja,C,159,36
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,ja,R,122,21
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,ko,C,150,45
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,ko,R,114,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,lt,C,166,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,lt,R,136,7
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,nn,C,0,195
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,nn,R,0,143
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,pl,C,163,32
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,pl,R,126,17
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,pt_BR,C,19,176
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,pt_BR,R,90,53
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,ru,C,166,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,ru,R,136,7
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,tr,C,0,195
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,tr,R,0,143
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,zh_CN,C,154,41
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,zh_CN,R,115,28
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,zh_TW,C,163,32
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grDevices,zh_TW,R,126,17
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,da,C,3,127
