package,po_file,component,code,variant,language,country
base,da.po,C,da,NA,Danish,NA
base,de.po,C,de,NA,German,NA
base,en_GB.po,C,en,GB,English,United Kingdom
base,en.po,C,en,NA,English,NA
base,es.po,C,es,NA,Spanish; Castilian,NA
base,fa.po,C,fa,NA,Persian,NA
base,fr.po,C,fr,NA,French,NA
base,it.po,C,it,NA,Italian,NA
base,ja.po,C,ja,NA,Japanese,NA
base,ko.po,C,ko,NA,Korean,NA
base,lt.po,C,lt,NA,Lithuanian,NA
base,nn.po,C,nn,NA,"Norwegian Nynorsk; Nynorsk, Norwegian",NA
base,pl.po,C,pl,NA,Polish,NA
base,pt_BR.po,C,pt,BR,Portuguese,Brazil
base,ru.po,C,ru,NA,Russian,NA
base,tr.po,C,tr,NA,Turkish,NA
base,zh_CN.po,C,zh,CN,Chinese,China
base,zh_TW.po,C,zh,TW,Chinese,Taiwan
base,R-da.po,R,da,NA,Danish,NA
base,R-de.po,R,de,NA,German,NA
base,R-fa.po,R,fa,NA,Persian,NA
base,R-fr.po,R,fr,NA,French,NA
base,R-it.po,R,it,NA,Italian,NA
base,R-ja.po,R,ja,NA,Japanese,NA
base,R-ko.po,R,ko,NA,Korean,NA
base,R-lt.po,R,lt,NA,Lithuanian,NA
base,R-nn.po,R,nn,NA,"Norwegian Nynorsk; Nynorsk, Norwegian",NA
base,R-pl.po,R,pl,NA,Polish,NA
base,R-pt_BR.po,R,pt,BR,Portuguese,Brazil
base,R-ru.po,R,ru,NA,Russian,NA
base,R-tr.po,R,tr,NA,Turkish,NA
base,R-zh_CN.po,R,zh,CN,Chinese,China
base,R-zh_TW.po,R,zh,TW,Chinese,Taiwan
base,RGui-da.po,RGui,da,NA,Danish,NA
base,RGui-de.po,RGui,de,NA,German,NA
base,RGui-es.po,RGui,es,NA,Spanish; Castilian,NA
base,RGui-fa.po,RGui,fa,NA,Persian,NA
base,RGui-fr.po,RGui,fr,NA,French,NA
base,RGui-it.po,RGui,it,NA,Italian,NA
base,RGui-ja.po,RGui,ja,NA,Japanese,NA
base,RGui-ko.po,RGui,ko,NA,Korean,NA
base,RGui-lt.po,RGui,lt,NA,Lithuanian,NA
base,RGui-nn.po,RGui,nn,NA,"Norwegian Nynorsk; Nynorsk, Norwegian",NA
base,RGui-pl.po,RGui,pl,NA,Polish,NA
base,RGui-pt_BR.po,RGui,pt,BR,Portuguese,Brazil
base,RGui-ru.po,RGui,ru,NA,Russian,NA
base,RGui-tr.po,RGui,tr,NA,Turkish,NA
base,RGui-zh_CN.po,RGui,zh,CN,Chinese,China
base,RGui-zh_TW.po,RGui,zh,TW,Chinese,Taiwan
compiler,R-da.po,R,da,NA,Danish,NA
compiler,R-de.po,R,de,NA,German,NA
compiler,R-fr.po,R,fr,NA,French,NA
compiler,R-it.po,R,it,NA,Italian,NA
compiler,R-ja.po,R,ja,NA,Japanese,NA
compiler,R-ko.po,R,ko,NA,Korean,NA
compiler,R-lt.po,R,lt,NA,Lithuanian,NA
compiler,R-pl.po,R,pl,NA,Polish,NA
compiler,R-pt_BR.po,R,pt,BR,Portuguese,Brazil
compiler,R-ru.po,R,ru,NA,Russian,NA
compiler,R-zh_CN.po,R,zh,CN,Chinese,China
compiler,R-zh_TW.po,R,zh,TW,Chinese,Taiwan
graphics,da.po,C,da,NA,Danish,NA
graphics,de.po,C,de,NA,German,NA
graphics,es.po,C,es,NA,Spanish; Castilian,NA
graphics,fr.po,C,fr,NA,French,NA
graphics,it.po,C,it,NA,Italian,NA
graphics,ja.po,C,ja,NA,Japanese,NA
graphics,ko.po,C,ko,NA,Korean,NA
graphics,lt.po,C,lt,NA,Lithuanian,NA
graphics,nn.po,C,nn,NA,"Norwegian Nynorsk; Nynorsk, Norwegian",NA
graphics,pl.po,C,pl,NA,Polish,NA
graphics,pt_BR.po,C,pt,BR,Portuguese,Brazil
graphics,ru.po,C,ru,NA,Russian,NA
graphics,tr.po,C,tr,NA,Turkish,NA
graphics,zh_CN.po,C,zh,CN,Chinese,China
graphics,zh_TW.po,C,zh,TW,Chinese,Taiwan
