Country of residence,Region,Online
Kenya,Africa,FALSE
Nigeria,Africa,FALSE
Nigeria,Africa,FALSE
Senegal,Africa,FALSE
Uganda,Africa,FALSE
India,Asia,TRUE
India,Asia,TRUE
India,Asia,FALSE
India,Asia,FALSE
India,Asia,FALSE
Nepal,Asia,FALSE
Russian Federation,Asia,TRUE
Switzerland,Europe,FALSE
Germany,Europe,FALSE
Germany,Europe,FALSE
Hungary,Europe,FALSE
Italy,Europe,FALSE
Luxembourg,Europe,FALSE
Netherlands,Europe,FALSE
Netherlands,Europe,FALSE
Argentina,Latin America,FALSE
Argentina,Latin America,FALSE
Argentina,Latin America,FALSE
Brazil,Latin America,FALSE
Brazil,Latin America,FALSE
Colombia,Latin America,FALSE
Oman,Middle East,FALSE
Saudi Arabia,Middle East,FALSE
United Arab Emirates,Middle East,FALSE
Canada,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,TRUE
United States of America,North America,FALSE
United States of America,North America,TRUE
United States of America,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,FALSE
United States of America,North America,FALSE
New Zealand,Oceania,TRUE
New Zealand,Oceania,FALSE
New Zealand,Oceania,FALSE
New Zealand,Oceania,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United Kingdom,United Kingdom,FALSE
United States of America,North America,TRUE
