project,translation,component,unit,progress
r-project,bn,glossary,https://translate.rx.studio/api/units/130813/,updated translation
r-project,bn,glossary,https://translate.rx.studio/api/units/130790/,updated translation
r-project,bn,glossary,https://translate.rx.studio/api/units/138151/,new translation
r-project,bn,glossary,https://translate.rx.studio/api/units/138179/,new translation
r-project,bn,base-r,https://translate.rx.studio/api/units/130212/,new translation
r-project,en,mac-gui,https://translate.rx.studio/api/units/170480/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170481/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170482/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170483/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170484/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170485/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170486/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170487/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170488/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170489/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170490/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170491/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170492/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170493/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170494/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170495/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170496/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170497/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170498/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170499/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170500/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170501/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170502/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170503/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170504/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170505/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170506/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170507/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170508/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170509/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170510/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170511/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170512/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170513/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170514/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170515/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170516/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170517/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170518/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170519/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170520/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170521/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170522/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170523/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170524/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170525/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170526/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170527/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170528/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170529/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170530/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170531/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170532/,external update
r-project,en,mac-gui,https://translate.rx.studio/api/units/170533/,external update
