subdirectory,json_count,most_recent_date
(top-level),7,
0_welcome,157,2026-04-25
1_guide_to_this_slack,11,2025-11-24
bug-bbq,4,2025-08-10
bug-reporting,47,2026-02-17
bugzilla-inbox,1395,2026-06-29
bugzilla-posts,5,2021-03-02
c-study-group,190,2026-05-11
core-dev-help,53,2026-04-27
core-documentation,39,2026-02-17
core-outreach,154,2026-05-28
core-outreach-github,60,2025-09-30
core-translation,304,2026-05-30
core-translation-ca,28,2025-05-18
core-translation-es,18,2026-01-09
core-translation-glossary,6,2025-12-11
core-translation-po-bugs,28,2025-10-30
cran-cookbook,12,2026-04-24
events,250,2026-06-29
general,303,2026-06-23
getting-started,59,2026-03-17
gsoc,64,2026-04-30
gsod,67,2024-03-20
jobs-opportunities,57,2026-05-28
outreachy,7,2022-05-23
patches-for-review,33,2026-06-26
r-dev-days,32,2026-06-26
r-dev-guide-github,53,2025-09-30
r-project-sprint,34,2023-12-07
random,150,2026-06-08
translations-dashboard,7,2025-12-11
weblate-updates,68,2026-06-19
wishlist-discuss,34,2026-02-18
work-out-loud,70,2026-05-12
